Seq No,Itm Code,Function Description,Opn Qty,Pur Qty 01,Sal Qty 01,Bal Qty 01,Pur Qty 02,Sal Qty 02,Bal Qty 02,Pur Qty 03,Sal Qty 03,Bal Qty 03,Pur Qty 04,Sal Qty 04,Bal Qty 04,Pur Qty 05,Sal Qty 05,Bal Qty 05,Pur Qty 06,Sal Qty 06,Bal Qty 06,Pur Qty 07,Sal Qty 07,Bal Qty 07,Pur Qty 08,Sal Qty 08,Bal Qty 08,Pur Qty 09,Sal Qty 09,Bal Qty 09,Pur Qty 10,Sal Qty 10,Bal Qty 10,Pur Qty 11,Sal Qty 11,Bal Qty 11,Pur Qty 12,Sal Qty 12,Bal Qty 12
51,GAB56823 ,SHOCK ABSORBER,27,0,1,26,20,1,45,0,2,43,0,2,41,0,2,39,0,2,37,0,5,32,0,6,26,0,5,21,0,4,17,0,7,10,0,4,6
52,GAB56824 ,SHOCK ABSORBER,25,0,3,22,20,1,41,0,2,39,0,2,37,0,2,35,0,2,33,0,5,28,0,6,22,0,5,17,0,3,14,0,9,5,0,4,1
53,GAB56838 ,SHOCK ABSORBER,26,0,2,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24
54,GAB56839 ,SHOCK ABSORBER,2,6,0,8,0,0,8,0,0,8,0,0,8,0,2,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,2,4
55,GAB56840 ,SHOCK ABSORBER,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
56,GAB56841 ,SHOCK ABSORBER,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,1,0,0,1,0,0,1
57,GAB56848 ,SHOCK ABSORBER,0,0,0,0,20,0,20,0,0,20,0,0,20,0,1,19,0,0,19,0,0,19,0,0,19,0,1,18,0,0,18,0,1,17,0,0,17
58,GAB56849 ,SHOCK ABSORBER,0,0,0,0,20,0,20,0,0,20,0,0,20,0,1,19,0,0,19,0,0,19,0,0,19,0,1,18,0,0,18,0,1,17,0,0,17
59,GAB57111 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,GAB57716 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,GAB57717 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,GAB58930 ,SHOCK ABSORBER,5,0,2,3,299,6,296,0,18,278,0,24,254,0,6,248,0,8,240,0,19,221,0,23,198,0,18,180,0,23,157,0,32,125,0,19,106
